Name,longitude,latitude,TransportMode,StopPlaceType
L'ECHAPRE,801442.8288004475,6477944.017862496,bus,,FR:Quay:161:,any,
RUE D. ABATTOIRS,801015.9939497338,6478270.357977084,bus,,FR:Quay:162:,any,
RUE D. ABATTOIRS,801032.6458580568,6478231.251512175,bus,,FR:Quay:163:,any,
LA MALAFOLIE,801919.1293891319,6478029.883742557,bus,,FR:Quay:164:,any,
LA MALAFOLIE,801988.0450677502,6478027.29913481,bus,,FR:Quay:165:,any,
LE BEC,802385.3122801672,6478100.84909844,bus,,FR:Quay:166:,any,
LE BEC,802390.3669133089,6478107.799773111,bus,,FR:Quay:167:,any,
LES PLATANES,802824.5555722172,6478176.039942158,bus,,FR:Quay:168:,any,
LES PLATANES,802729.5887433684,6478169.85441393,bus,,FR:Quay:169:,any,
LES MOLIERES,803273.7466396719,6478246.150501011,bus,,FR:Quay:170:,any,
LES MOLIERES,803101.8124225198,6478235.624515589,bus,,FR:Quay:171:,any,
CROIX BLEUE,803351.2710460804,6477963.74540051,bus,,FR:Quay:172:,any,
CROIX BLEUE,803340.3412980445,6477970.832094113,bus,,FR:Quay:173:,any,
GARE CHAMBON,803504.7551124688,6478154.265821619,bus,,FR:Quay:174:,any,
GARE CHAMBON,803498.9395103642,6478175.296355857,bus,,FR:Quay:175:,any,
LYCEE  A.TESTUD,803326.1890195187,6478303.651842932,bus,,FR:Quay:176:,any,
CHATEAU D'EAU,803763.7575030827,6477947.246720737,bus,,FR:Quay:177:,any,
CHATEAU D'EAU,803780.6813938193,6477940.109005576,bus,,FR:Quay:178:,any,
POLE DE SERVICES,803562.3754452753,6478115.809759667,bus,,FR:Quay:179:,any,
POLE DE SERVICES,803540.4139144887,6478117.994865657,bus,,FR:Quay:180:,any,
LA COTILLE,803683.7930615098,6477942.931773426,bus,,FR:Quay:2051:,any,
LA COTILLE,803699.887971333,6477955.783057299,bus,,FR:Quay:2052:,any,
MAIRIE CHAMBON 2,803485.7608658428,6478270.322732164,bus,,FR:Quay:181:,any,
EGLISE CHAMBON 2,803848.848838079,6478319.185732028,bus,,FR:Quay:182:,any,
CIMETIERE,804457.6712524458,6478128.172081168,bus,,FR:Quay:183:,any,
CIMETIERE,804539.0428703969,6478180.431657943,bus,,FR:Quay:188:,any,
LAGRANGE,804846.9674398751,6477852.105234954,bus,,FR:Quay:184:,any,
LAGRANGE,804818.6844903883,6477933.272807492,bus,,FR:Quay:185:,any,
STADE POURATTE,804710.4285780032,6478009.126471479,bus,,FR:Quay:186:,any,
STADE POURATTE,804685.2489015765,6477985.362451963,bus,,FR:Quay:187:,any,
NIONNIERE,805024.2370671825,6478137.337227617,bus,,FR:Quay:189:,any,
NIONNIERE,804982.4651187336,6478159.6729024,bus,,FR:Quay:190:,any,
EAUX VIVES,805265.8733941644,6478120.294063252,bus,,FR:Quay:191:,any,
EAUX VIVES,805268.7769282007,6478109.279280989,bus,,FR:Quay:192:,any,
GRENIECQ,784263.573797756,6478203.979408681,bus,,FR:Quay:2533:,any,
GRENIECQ,784226.3213075334,6478170.32659544,bus,,FR:Quay:2534:,any,
POMMERLET,790142.4096565361,6478456.746671723,bus,,FR:Quay:2535:,any,
POMMERLET,790148.3358697533,6478448.703521278,bus,,FR:Quay:2536:,any,
CHAIZENEUVE,791015.2971417628,6478536.248009403,bus,,FR:Quay:2537:,any,
CHAIZENEUVE,791020.2328162278,6478529.21237039,bus,,FR:Quay:2538:,any,
CROIX STE-AGATHE,792437.5792215054,6478250.403787684,bus,,FR:Quay:2539:,any,
CROIX STE-AGATHE,792447.6204273382,6478256.312995123,bus,,FR:Quay:2540:,any,
