Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
01432-1;1432;87559070;Nevers Le Banlay;58000;194;Nevers;58;Nièvre;3.1636746;47.0068974;GARES C BOURGOGNE;Nevers Le Banlay;NEVERS P GARE DU BANLAY;NVB;47.0068974, 3.1636746
00423-1;423;87734699;Le Puy-en-Velay;43000;157;Puy-en-Velay;43;Haute-Loire;3.892421;45.042866;GARES B AUVERGNE;Le Puy-en-Velay;LE PUY GARE;LPU;45.042866, 3.892421
00435-1;435;87734319;Langeac;43300;112;Langeac;43;Haute-Loire;3.490672;45.10125;GARES C AUVERGNE;Langeac;LANGEAC GARE;LNG;45.10125, 3.490672
00436-1;436;87734301;Saint-Georges-d'Aurac;43230;148;Paulhaguet;43;Haute-Loire;3.4947035;45.1605341;GARES C AUVERGNE;Saint-Georges-d'Aurac;SAINT GEORGES D AURAC GARE;SGA;45.1605341, 3.4947035
00444-1;444;87734186;Vic-le-Comte;63270;457;Vic-le-Comte;63;Puy-de-Dôme;3.207079;45.664911;GARES B AUVERGNE;Vic-le-Comte;VIC LE COMTE GARE;VLC;45.664911, 3.207079
00445-1;445;87734178;Les Martres-de-Veyre;63730;214;Martres-de-Veyre;63;Puy-de-Dôme;3.193228;45.688155;GARES B AUVERGNE;Les Martres-de-Veyre;LES MARTRES DE VEYRE GARE;MVY;45.688155, 3.193228
00447-1;447;87734152;Sarliève - Cournon;63800;124;Cournon-d'Auvergne;63;Puy-de-Dôme;3.1681196;45.7387697;GARES C AUVERGNE;Sarliève - Cournon;SARLIEVE COURNON GARE;SLC;45.7387697, 3.1681196
00448-1;448;87734129;Aigueperse;63260;1;Aigueperse;63;Puy-de-Dôme;3.1982621;46.0147884;GARES C AUVERGNE;Aigueperse;AIGUEPERSE GARE;AGE;46.0147884, 3.1982621
00449-1;449;87734111;Aubiat;63260;13;Aubiat;63;Puy-de-Dôme;3.1605115;45.983812;GARES C AUVERGNE;Aubiat;AUBIAT GARE;AUK;45.983812, 3.1605115
00453-1;453;87734046;Gerzat;63360;164;Gerzat;63;Puy-de-Dôme;3.1431045;45.8335879;GARES C AUVERGNE;Gerzat;GERZAT GARE;GEZ;45.8335879, 3.1431045
00454-1;454;87734038;Royat - Chamalières;63130;308;Royat;63;Puy-de-Dôme;3.0615022;45.7676495;GARES C AUVERGNE;Royat - Chamalières;ROYAT CHAMALIERES GARE;RYA;45.7676495, 3.0615022
00702-1;702;87696351;Varennes-sur-Allier;3150;298;Varennes-sur-Allier;3;Allier;3.3941783;46.3154922;GARES C AUVERGNE;Varennes-sur-Allier;VARENNES SUR ALLIER GARE;VAA;46.3154922, 3.3941783
00703-1;703;87696336;Bessay-sur-Allier;3340;25;Bessay-sur-Allier;3;Allier;3.3606477;46.4435849;GARES C AUVERGNE;Bessay-sur-Allier;BESSAY GARE;BSS;46.4435849, 3.3606477
